,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CLOCK,116.997797809034,0.53920997252534,0.138664079158678,3.88860601676302,0.000100821628588,0.00040110413448
CCDC122,15.2900205424632,1.33777561817527,0.344065144237509,3.88814630188694,0.000101012736057,0.000401778319999
C8orf49,2.48046275541565,3.7067482808419,0.953686444210601,3.88675785772555,0.000101592002364,0.000403995788322
ATP8B4,2.85486927264929,3.54278442139562,0.911652741018888,3.88611174188553,0.000101862633089,0.000404985234103
SOCS6,23.3328566523703,0.96131607398133,0.247437220409446,3.88509082178743,0.000102291641032,0.000406603797104
DCAF4,36.3410415324055,1.00323045816499,0.258264845513917,3.88450257784283,0.00010253960493,0.000407502180758
PINX1,17.6783317280962,-1.25841578920477,0.324069226955347,-3.88316965800079,0.000103103574704,0.000409655748553
SEP15,165.249959319306,0.588431035933919,0.151538273132691,3.88305227299689,0.000103153381315,0.000409765935662
CRKL,57.0110758472486,-0.643675332448445,0.165781568837424,-3.88267125810393,0.000103315202953,0.000410320948313
AK7,4.11528240571967,2.12030361893828,0.546131802074387,3.88240276593429,0.000103429378699,0.000410598707612
IGSF9,3.67644416351703,2.45529321124114,0.63241039051665,3.88243654446487,0.000103415007902,0.000410598707612
PEX2,37.9419830084402,0.955041524384482,0.246028578180011,3.88183166138411,0.000103672635914,0.00041138844388
RPS10,1205.00064048732,-0.331501714799086,0.085397414398899,-3.88187062960259,0.000103656020577,0.00041138844388
KIF3C,122.56078531184,-0.519378706998819,0.133834413241371,-3.88075603590921,0.000104132256457,0.000413123974485
NUDT7,6.85688566258802,2.0711795227408,0.533877770796643,3.87950133164418,0.000104670828206,0.000415171919654
FAM163A,1.77395512556524,3.59811157496343,0.927653814062011,3.87872234277572,0.000105006524449,0.000416414465575
CHAC1,18.1940630022359,2.072589857776,0.534457447405094,3.87793241134325,0.000105347973617,0.000417590099135
TGFBR3,396.753987861894,1.77114611431733,0.4567241917507,3.87793365516338,0.000105347435151,0.000417590099135
DDX19A,336.064415631839,-0.321591671971678,0.082968751611172,-3.87605774133854,0.000106162501365,0.000420728973707
CYB5R1,91.1080638649589,0.984282465343943,0.25400385537153,3.87506899808367,0.000106594491814,0.000422350811428
EXOC3L2,2.05387060438081,-3.40143630431886,0.877988793011164,-3.87412268971366,0.000107009495109,0.000423904664471
ILDR2,2.41452583022132,3.39863539041221,0.877339421883372,3.87379764962163,0.000107152392786,0.000424380172238
SLC39A14,221.808151643979,0.558188660394139,0.144137628434351,3.87260888400402,0.00010767654584,0.000426365128076
C4orf26,35.0118519340537,3.51847023908804,0.909148888260826,3.87007044117797,0.00010880391092,0.000430737257071
RIOK3,122.482344050651,0.571787773842712,0.147758829128651,3.86973676777626,0.000108952926328,0.000431235217789
BMPR1B,3.80531967666976,-3.0096840570413,0.777894453353213,-3.86901339129964,0.000109276640933,0.000432424277477
PROSER1,33.9998605491182,-0.786095864563481,0.203325052131708,-3.86620269525013,0.000110543074443,0.000437342517239
PTDSS1,127.276666700528,-0.514858418159488,0.133171136724729,-3.86614119862717,0.000110570937549,0.000437359538401
PRKG1,28.7996103133848,1.70692801123224,0.441544054630714,3.86581586442111,0.000110718451383,0.000437849725826
GPR108,93.3351326585731,0.566543892114788,0.146576155871959,3.86518454345118,0.000111005236337,0.000438890351891
PAK1,119.826297825924,-0.492257054680998,0.127379283141016,-3.86449854750747,0.000111317652398,0.000440031852954
KDM4B,152.629346642245,0.491916016406659,0.127294838245221,3.86438305895038,0.000111370329667,0.000440146355037
THAP9-AS1,52.84437375951,-0.745137880083287,0.192874320798854,-3.86333378646285,0.000111850008098,0.000441947999217
FAM84A,2.95473242310573,3.64441368677765,0.943500972070939,3.86264963646867,0.000112163818472,0.000443093628921
POLD2,165.852759206644,-0.464078916634405,0.120164243046333,-3.86203836407031,0.000112444903226,0.000444109518847
RP11-386G11.10,4.70835934924493,-2.42082052018567,0.626849173999118,-3.86188675138794,0.000112514722888,0.000444290746857
RPS4X,1662.79785098337,-0.396203376555991,0.10261443970457,-3.86108794918798,0.000112883257773,0.000445651193968
ZNF35,25.5391491552879,-1.04838255927613,0.271659680914732,-3.85917614180365,0.000113769916969,0.000449056127724
MCTP1,8.85438902161824,2.60699625201805,0.675714734752893,3.85813142430795,0.000114257208143,0.000450883621334
AKAP8L,231.243903490385,0.374766174237681,0.097154198577456,3.85743673176305,0.000114582324967,0.000452070499119
DLX2,2.24441635073253,-3.37414882362536,0.874943199239428,-3.85642042427262,0.000115059530233,0.000453766565014
ZNF467,11.9880802929745,1.42432616850582,0.369339243410948,3.85641708514856,0.000115061101197,0.000453766565014
TCTN2,10.7439797994378,-1.50124217977666,0.389467765201542,-3.85459931196052,0.000115919322168,0.000457054030886
ABCE1,108.891528781855,-0.625971343683489,0.162441097797378,-3.85352815372067,0.000116427868726,0.000458961674911
RGS9BP,1.02459943563838,4.11412736506882,1.06803951402802,3.85203666253203,0.000117139479263,0.000461668822411
RNF128,8.31454744157378,3.37894689810336,0.877279757716677,3.85161844711641,0.000117339750557,0.000462359963828
HIST1H1D,7.04937090273544,-1.77067497820014,0.459804351432287,-3.85093132042901,0.000117669496921,0.000463560881017
MPPE1,81.1791440992648,0.726144277974413,0.188593681823852,3.85031073656347,0.000117968060752,0.000464638470559
ATG9A,193.09164681777,0.433550308660302,0.112621710433036,3.84961573566303,0.000118303274669,0.000465859925262
TRIM14,6.7003668217001,3.14741265468938,0.817633657199615,3.84941670022394,0.000118399439075,0.000466139721644
MARCH1,4.60347160610144,2.13795845277314,0.555565556261067,3.84825594149773,0.000118961732226,0.000468254163551
